backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,urls,usd_pledged,location,blurb_length,duration
0,fashion/accessories,GB,2087172894,GBP,False,3000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/2087172894/wildsilk-0?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/2087172894/wildsilk-0/rewards'}",0.0,"Abingdon, UK",20,21
138,fashion/accessories,US,475206776,USD,False,45000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/katemats/the-ink-volt-laptop-bag?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/katemats/the-ink-volt-laptop-bag/rewards'}",39963.0,"Seattle, WA",24,60
0,fashion/accessories,US,654746212,USD,False,10000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/654746212/sweat-swype?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/654746212/sweat-swype/rewards'}",0.0,"Chatsworth, Los Angeles, CA",17,60
26,fashion/accessories,SG,106275432,SGD,False,21000.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/106275432/project-a-an-automatic-watch?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/106275432/project-a-an-automatic-watch/rewards'}",16515.354226800002,"Ginza 2 Chome, Japan",20,30
13,fashion/accessories,US,1931233840,USD,False,900.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1931233840/salty-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1931233840/salty-pins/rewards'}",328.0,"Columbus, OH",21,30
48,fashion/accessories,GB,223979358,GBP,False,650.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/craftymarten/floral-friends-enamel-pin-set?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/craftymarten/floral-friends-enamel-pin-set/rewards'}",1567.94026801,"Inverness, UK",21,30
88,fashion/accessories,GB,116403817,GBP,False,250.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/116403817/grumpy-fox-pun-enamel-pin-otter-and-squirrel-punny?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/116403817/grumpy-fox-pun-enamel-pin-otter-and-squirrel-punny/rewards'}",2223.98820148,"North Yorkshire, UK",21,30
0,fashion/accessories,US,1063417547,USD,False,470.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1063417547/pop-team-epic-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1063417547/pop-team-epic-enamel-pins/rewards'}",0.0,"Philadelphia, PA",18,25
53,fashion/accessories,CA,330388878,CAD,False,900.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/330388878/april-showers-and-may-flowers-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/330388878/april-showers-and-may-flowers-enamel-pins/rewards'}",1082.9403972,"Toronto, Canada",19,25
33,fashion/accessories,US,1860366745,USD,False,1110.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1860366745/fact-the-lightest-most-packable-performance-hat-ev?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1860366745/fact-the-lightest-most-packable-performance-hat-ev/rewards'}",1194.0,"Carlsbad, CA",20,29
33,fashion/accessories,US,711671223,USD,False,500.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/711671223/make-100-moth-crystal-halo-moth-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/711671223/make-100-moth-crystal-halo-moth-enamel-pins/rewards'}",720.0,"Greenville, SC",18,30
8,fashion/accessories,US,1134127207,USD,False,300.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1134127207/petwatch-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1134127207/petwatch-enamel-pins/rewards'}",159.0,"Charlotte, NC",17,30
23,fashion/accessories,US,1555932215,USD,False,400.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/pastel-bunbun/kawaii-friends-enamel-pins-accessories?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/pastel-bunbun/kawaii-friends-enamel-pins-accessories/rewards'}",476.0,"Roseville, MI",14,30
83,fashion/accessories,US,462990370,USD,False,5658.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/462990370/regicide-enamel-pins?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/462990370/regicide-enamel-pins/rewards'}",2711.0,"Lebanon, IN",24,30
24,fashion/accessories,US,1060793309,USD,False,260.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1060793309/kawaii-im-steamy-hard-enamel-pin?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1060793309/kawaii-im-steamy-hard-enamel-pin/rewards'}",408.0,"Rocky Hill, CT",6,30
16,fashion/accessories,US,1823857158,USD,False,700.0,True,False,live,"{'project': 'https://www.kickstarter.com/projects/1823857158/prj-amal?ref=category_newest', 'rewards': 'https://www.kickstarter.com/projects/1823857158/prj-amal/rewards'}",845.0,"Chicago, IL",16,30
