backers_count,category,country,creator,currency,disable_communication,goal,is_starrable,staff_pick,state,usd_pledged,location,blurb_length,duration
0,3,5,111068890,4,0,-0.03363939757084864,0,0,live,0.0,5431,2.1956400687138387,-0.2839224715204801
3,0,21,1755390789,13,0,-0.035506640131528336,1,0,live,300.0,8778,0.33835058692620007,1.9956465130835315
85,4,21,1752084284,13,0,-0.03720277387406571,0,0,live,4314.0,11275,-1.1062078989086301,-0.2839224715204801
40,3,21,1316361620,13,0,-0.03761646503078214,0,0,live,1335.0,3016,-1.7253043928378429,-0.2839224715204801
21,4,15,1764386789,8,0,-0.037449005781958866,0,0,live,633.9715195,1907,-1.9316698908142473,-0.2839224715204801
5,0,3,750104310,1,0,-0.037632609062583276,1,0,live,241.463463,3372,-0.8998424009322258,1.9956465130835315
3,10,21,1465661621,13,0,-0.036623606254662704,1,0,live,100.0,3949,-0.28074590700301283,0.18771249081138436
0,3,21,339458300,13,0,-0.02115155699346815,0,0,live,0.0,12455,0.33835058692620007,-0.2839224715204801
2,3,21,1848196774,13,0,-0.03463788870242383,0,0,live,41.0,1931,-0.48711140497941713,-0.2839224715204801
25,4,21,1759779461,13,0,-0.037285512105408994,0,0,live,644.0,1032,0.13198508894979574,-0.2839224715204801
31,4,21,372699670,13,0,-0.03654086802331942,1,0,live,1005.0,314,0.5447160849026044,-0.2839224715204801
12,4,21,449336234,13,0,-0.037037297411379136,1,0,live,294.0,10713,0.13198508894979574,-0.2839224715204801
4,8,3,1247654637,1,0,-0.013775010716597196,1,0,live,508.43128434,512,0.5447160849026044,-0.2839224715204801
14,0,21,544492063,13,0,-0.03521705632182684,1,0,live,466.0,9667,0.33835058692620007,-0.2839224715204801
55,0,21,549582372,13,0,-0.03645812979197613,1,0,live,4898.99,7307,-0.28074590700301283,0.8165591072538704
39,4,19,1975787135,11,0,-0.03708223461327746,1,0,live,888.48665625,11540,-0.6934769029558214,-0.2839224715204801
31,4,2,1491633089,4,0,-0.03164517896319688,1,1,live,1748.78261712,1623,0.5447160849026044,1.9956465130835315
3,0,21,1172469578,13,0,0.003669912409517764,1,0,live,30.0,13591,0.33835058692620007,-0.2839224715204801
8,0,21,1205169083,13,0,0.02849138181250368,1,0,live,1090.0,7307,-3.788959372601886,-0.20531664446516937
0,11,21,1376861259,13,0,-0.03415469743137904,1,0,live,0.0,11022,1.1638125788318172,0.5807416260879381
1,7,21,1301067747,13,0,-0.02528846856063247,1,0,live,25.0,7931,1.7829090727610302,-0.2839224715204801
2,0,21,1023401372,13,0,-0.037285512105408994,0,0,live,56.0,11301,0.5447160849026044,-0.2839224715204801
27,0,21,1209878535,13,0,-0.037285512105408994,1,0,live,661.0,12355,0.5447160849026044,-0.2839224715204801
